[11:12:03.559 INF] [T:1] [Game] Logger setup was successful: Game
[11:12:03.698 DBG] [T:1] [Game] [Engine] Discovered '12' commands: [19999, 10007, 10006, 10000, 10008, 10010, 10009, 10001, 10004, 10005, 10003, 10002]
[11:12:03.701 INF] [T:1] [Game] The server Game is initialized.
[11:12:59.212 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 54
[11:12:59.228 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 58
[11:12:59.244 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 58
[11:12:59.260 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 58
[11:12:59.276 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 61
[11:12:59.292 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 61
[11:12:59.309 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 61
[11:12:59.324 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 62
[11:12:59.340 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 64
[11:12:59.356 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 64
[11:12:59.373 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 64
[11:12:59.388 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 68
[11:12:59.405 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 68
[11:12:59.420 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 68
[11:12:59.435 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 71
[11:12:59.452 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 71
[11:12:59.468 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 71
[11:12:59.484 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 71
[11:12:59.500 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 75
[11:12:59.516 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 75
[11:12:59.532 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 75
[11:12:59.549 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 78
[11:12:59.565 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 78
[11:12:59.580 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 78
[11:12:59.596 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 81
[11:12:59.613 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 81
[11:12:59.629 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 81
[11:12:59.645 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 81
